Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
Which of the following statements is true concerning a poly-phase synchronous propulsion motor?,Electrical,A,The motor is started as an induction motor.,Resistance is gradually added to the rotor circuit.,The starting current is held below the rated current.,The field winding is energized for starting purposes only.,,,1
"When reading electrical motor controller diagrams, it helps to know that _____",Electrical,A,current paths in the control circuit are drawn as heavy lines and in the power circuit as lighter  lines,current paths in the power circuit are drawn as heavy lines and in control circuit as lighter lines,circuits subject to 500 volts or greater are drawn as heavy lines and below 500 volts as lighter lines,circuits subject to 500volts or greater are drawn as light lines and below 500 volts as heavy,,,2
"Alternating current circuits develop resistance, inductance and capacitance.",Electrical,A,ohms,mhos,henrys,farads,,,3
Large cable sizes are formed as individual conductors that may be comprised of several smaller strands to,Electrical,A,obtain the flexibility required for easy handling,reduce the overall weight of the wire run,reduce the number of supports needed for a horizontal overhead run,all of the above,,,1
Which of the following is having Di-Electric Constant 80?,Electrical,A,Air,Water,Mica,Caster oil,,,2
"Where a thermal-acting breaker is required to be used in an area of unusually high, low, or constantly fluctuating temperatures, an ambient compensating element must be used. This element consists of a",Electrical,A,cylindrical spring on the contact arm,conical spring on the contact arm,second bimetal element,second electromagnet,,,3
Which of the following precautions should you take when securing propulsion generators and motors for an extended period of time?,Electrical,A,Disconnect the brush pigtails from their contacts and circulate air through the units.,Disconnect the brush pigtails from their contacts and discharge carbon dioxide into the units to keep them dry.,Lift the brushes from commutator collector rings and use the built-in heater to prevent moisture accumulation.,Lift the brushes from commutator collector rings and circulate cool dry air through the units.,,,3
In a Transistor,Electrical,A,PNP and NPN are two basic types,"Emitter, Collector and Base are the basic Elements.",Collector separates Base and Emitter,Emitter separates Base and Collector,,,2
A molded-case breaker provides protection against short-circuits by using a/an,Electrical,A,Shading coil.,Arc quencher.,Electromagnet.,Holding coil.,,,3
PN diode advantage over vacuum diode?,Electrical,A,"Longer Life,",No warm up time,Less delicate,All of the above,,,4
Time delayed or delayed action-type fuses are designed to _____________.,Electrical,A,Prevent grounds in branch circuits,prevent opens in motor circuits,permit momentary overloads without melting,guard lighting and electronic circuits,,,3
"Silicon diodes designed for a specific reverse breakdown voltage, become useful as an electronic power supply voltage regulator, called _____________",Electrical,A,Tunnel diodes,hot-carrier diodes,compensating diodes,Zener diodes,,,4
Which of the following statements best describes the material known as varnished cambric?,Electrical,A,Felted asbestos sealed with varnish.,Cotton cloth coated with insulating varnish.,Rubber insulation coated with a layer of tin.,"Paper impregnated with mineral oil, specially wrapped with nonmetallic tape, and coated with varnish.",,,2
