Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
You are involved in an emergency landing of a helicopter on the water.  You should inflate your life jacket __________.,Naval,B,upon entering the helicopter,prior to reaching the water,"after reaching the water, but prior to exiting the  helicopter",after exiting clear of the helicopter,,,4
"If the metacentric height is large, a floating MODU will __________.",Naval,B,be tender,have a slow and easy motion,be stiff,have a tendency to yaw,,,3
A fire in the paint locker would probably be __________.,Naval,B,Class A,Class B,Class C,Class D,,,2
"The person-in-charge of a MODU shall insure that the fuel tank of each motor-propelled lifeboat is emptied, and the fuel is changed at least once every __________.",Naval,B,three months,six months,twelve months,twenty-four months,,,3
A vessel would most likely develop a list if you were __________.,Naval,B,burning fuel from a centerline tank,using water from two equally sized tanks on either side of  the centerline simultaneously,using fuel from tanks on the port side only,using water from the fore peak tank,,,3
"On a MODU, each lifeboat radio transmitter must be tested at least once __________.",Naval,B,each week,every two weeks,each month,every two months,,,1
"The person-in-charge shall insure that each lifeboat on a MODU is lowered to the water, launched, and operated at least once every __________.",Naval,B,month,two months,three months,six months,,,3
The most effective first aid treatment for chemical burns is to immediately __________.,Naval,B,apply ointment to burned area,flood the affected area with water,wrap the burn with sterile dressing,apply an ice pack to the burned area,,,2
Which of the following statements is true concerning the Halon 1301 fire extinguishing agent?,Naval,B,The agent is highly toxic at normal room temperature.,The agent by weight is more effective than CO2.,Halon extinguishes the fire by smothering.,The agent can not be used on electrical fires as it leaves a residue.,,,2
The person-in-charge on a MODU shall insure that each rechargeable battery for each lifeboat radio is fully charged at least __________.,Naval,B,once each week,once every two weeks,once each month,once every two months,,,1
Each EPIRB required on a MODU shall be tested using the integrated test circuit and output indicator every  __________.,Naval,B,week,two weeks,month,two months,,,3
How often must the emergency generator be tested on a mobile offshore drilling unit?,Naval,B,Once each day,Once each week,Once each month,Once each year,,,3
"Each emergency generator on a mobile offshore drilling unit, when tested, must be run under a full load for at least __________.",Naval,B,one hour,two hours,ten hours,four hours,,,2
"If the empty weight of a B-III semi-portable CO2 fire extinguisher is 35 lbs (15.9 kg), what is its full charged  weight?",Naval,B,47 lbs (21.3 kg),50 lbs (22.7 kg),55 lbs (24.9 kg),70 lbs (31.7 kg),,,4
The fireman outfits required for MODUs are not to be used  for any other purpose except for __________.,Naval,B,the oxygen and explosion meter when it is used for detection of flare gases,"the self contained breathing apparatus, when used as protection from gas leaking from a refrigeration unit","the boots and gloves that are made of rubber or electrically non-conductive material, if used when repairing electrical  equipment","the lifeline, if used by personnel entering a compartment which might be deficient of oxygen",,,2
"If a boiler has been laid up dry for an extended period, it will be unsafe to enter the steam and water drum immediately after it has been opened, as there may be __________.",Naval,B,insufficient oxygen to support life,a heavy concentration of sewer gas,excessive carbon dioxide in the drum,toxic gases from organic decomposition,,,1
"When treating a chemical burn, you should flood the burned  area for at least __________.",Naval,B,five minutes,ten minutes,fifteen minutes,twenty minutes,,,1
How should a Halon fire extinguisher be used to extinguish  an electrical fire?,Naval,B,Apply by bouncing agent off nearby bulkheads.,Use a quick sweeping motion towards the base of the fire.,Always direct discharge at the source of the fire.,It shouldn't be used on an electrical fire.,,,3
How many people onboard a MODU must be trained in the use of the fireman's outfit?,Naval,B,one person,two people,three people,four people,,,2
Which of the following types of bearings is designed to limit end movement and carry loads applied in the same direction as the shaft axis?,Naval,B,Rigidly mounted reduction gear bearing,Segmental pivoted-shoe thrust bearing,Self-aligning radial bearing,Spherically-seated radial bearing,,,2
A fire in a fuel oil settling tank is a __________.,Naval,B,Class A fire,Class B fire,Class C fire,Class D fire,,,2
Fire axes required on MODUs must be stored in the enclosure for fire hoses with the location marked '_________________.',Naval,B,Fire Axe Location,Hose Station No. _____,Fire Station No. _____,Firefighting Equipment,,,3
"If not attached to the nozzle, each low velocity spray applicator on a MODU must be stowed __________.",Naval,B,in a protected area on the main deck,inside a machinery space near the entrance,next to the fire hydrant to which the fire hose is attached,on a rack inside the quarters near the entrance,,,3
"If fuel oil is burned from the port side tanks alone, the ship will __________.",Naval,B,go down by the head,list to starboard,trim by the stern,list to port,,,2
"In addition to the lifejackets stowed in places that are readily accessible, lifejackets must be stowed at______________.",Naval,B,the mess room,each lifeboat,each manned watch station,each fire station,,,3
"Before entering any space that has been sealed, its oxygen level should be tested.  What level of oxygen in the space is equal to fresh air?",Naval,B,0.18,0.198,0.208,0.218,,,3
Chemical burns are caused by the skin coming in contact with __________.,Naval,B,acids or alkalies,diesel oil,"acids, but not alkalies","alkalies, but not acids",,,1
Which of the following statements is true concerning the Halon 1301 fire extinguishing agent?,Naval,B,The agent is highly toxic as stored in pressurized  cylinders.,The agent is less effective than carbon dioxide.,Halon extinguishes the fire by a chain breaking reaction.,The agent can not be used on electrical fires because it leaves a residue.,,,3
"Each distress signal and self-activated smoke signal must be replaced not later than the marked date of expiration, or from the date of manufacture, not later than __________.",Naval,B,48 months,42 months,36 months,12 months,,,2
"If a line shaft bearing begins to overheat the shaft speed  should be reduced.  If overheating persists, you should then __________.",Naval,B,increase lube oil pressure to the bearing,decrease lube oil pressure to the bearing,apply emergency cooling water externally to the bearing,flood the bearing with a higher viscosity oil to provide emergency lubrication and cooling,,,3
"The material or substance involved in a class ""B"" fire can  be burning __________.",Naval,B,diesel oil,magnesium,dunnage,electrical insulation,,,1
A qualified person must be assigned as the second in command of a lifeboat on a MODU if the lifeboat has a capacity of more than __________.,Naval,B,20 persons,30 persons,40 persons,50 persons,,,3
The master or person-in-charge of a MODU shall insure that  each deck from which lifeboats are launched is __________.,Naval,B,surfaced with a nonskid texture,roped off to prevent unnecessary access,kept clear of any obstructions that would interfere with launching,posted with a list of persons assigned to the lifeboat,,,3
Plugged limber holes can endanger a ship's stability by __________.,Naval,B,decreasing off center weight,increasing water area on the keelson,preventing the free surface effect,preventing water from draining to the bilge well,,,4
One life preserver or buoyant work vest is required to be worn on a MODU when a person is __________.,Naval,B,working on the rig floor,working over water,working on the pipe racks,operating line throwing equipment,,,2
"According to regulations, the master or person-in-charge of a MODU is required to submit a report of a loss of life __________.",Naval,B,only when it happens while underway,to the next of kin,to the nearest Marine Safety or Marine Inspection Office,to the nearest coroner,,,3
Which of the following precautions should be taken when treating burns caused by contact with dry lime?,Naval,B,Water should be applied in a fine spray.,The burned area should be immersed in water.,The entire burn area should be covered with ointment.,"Before washing, the lime should be brushed away gently.",,,4
Which of the fire extinguishing agents listed uses a chain  breaking action to put out a fire?,Naval,B,Halon 1211,Halon 1301,Purple K,All of the above,,,4
"At the required fire drill conducted aboard a MODU, all persons must report to their stations and demonstrate their ability to perform the duties assigned to them __________.",Naval,B,by the toolpusher,"in the Muster List (""Station Bill"")",by the person conducting the drill,at the previous safety meeting,,,2
The person on a MODU who is responsible for maintaining the engineering spaces in a clean and sanitary condition is the __________.,Naval,B,"master, or person-in-charge","chief engineer, or engineer-in-charge if no chief engineer  is required","senior mechanic, or mechanic on duty if no senior mechanic  designated","senior electrician, or electrician on duty if no senior electrician designated",,,2
"Which of the following would be considered a Class ""B"" fire?",Naval,B,Electrical fire in a motor,Waste rag fire in the engine room,Oil fire in the engine room bilges,Fire in the main switchboard,,,3
Convection spreads a fire as a result of __________.,Naval,B,transmitting the heat of a fire through the ship's metal,burning liquids flowing into another space,heated gases flowing through ventilation systems,the transfer of heat across an unobstructed space,,,3
The document certifying the correctness of the load line marks on a MODU is called the __________.,Naval,B,Certificate of Inspection,Load Line Certificate,Certificate of Documentation,SOLAS Certificate,,,2
A load line is assigned to a MODU to insure adequate stability and __________.,Naval,B,mooring tension,riser tension,lifesaving equipment,structural strength,,,4
Compliance with the terms of the load line certificate on a MODU is the responsibility of the __________.,Naval,B,Ballast Control Operator,Barge Supervisor,Master or Offshore Installation Manager,Operator representative,,,3
Periodic surveys to renew the load line assignment for a MODU must be made at intervals not exceeding __________.,Naval,B,18 months,two years,three years,five years,,,4
"If a person is unconscious as a result of an electric shock, you should first remove the victim from the electrical source and then __________.",Naval,B,administer ammonia smelling salts,check for serious burns on the body,determine if he/she is breathing,massage vigorously to restore circulation,,,3
"Modern fire fighting agents, such as Halon and Purple K, suppress the fire by __________.",Naval,B,dissipating heat,breaking the chain reaction,removing the fuel,all of the above,,,2
"Under the regulations implementing MARPOL, a mobile offshore drilling unit is required to have an International Oil Pollution Prevention (IOPP) certificate when the unit __________.",Naval,B,is drilling on the Outer Continental Shelf,moves to a new drilling location in U.S. waters,engages in a voyage to a port of another country which is a party of MARPOL,All of the above,,,3
The International Oil Pollution Certificate required by MARPOL is issued to U.S. flag MODUs by the __________.,Naval,B,International Maritime Organization,U.S. Coast Guard,American Bureau of Shipping,Environmental Protection Agency,,,2
"Burning paint, turpentine, or grease would be an example of which of the following classes of fire?",Naval,B,Class A,Class B,Class C,Class D,,,2
The International Oil Pollution Prevention Certificate on a MODU is valid for a period of __________.,Naval,B,one year from the date of issue,two years from the date of issue,three years from the date of issue,four years from the date of issue,,,4
Who is responsible for reporting a casualty for a mobile offshore drilling unit?,Naval,B,The pilot.,The owner.,The surveyor.,The engineer.,,,2
Who shall insure that all records required by regulations are retained onboard a mobile offshore drilling unit involved in a casualty?,Naval,B,"Officer-in-Charge, Marine Inspection",Owner,Pilot,Engineer,,,2
The master or person-in-charge of a MODU is required to submit a casualty report of an international grounding under what condition?,Naval,B,At the owner's discretion,If it creates a hazard to navigation,If the grounding lasts over 48 hours,Under any condition,,,2
"Since electrical burn victims have been subjected to electric shock, the FIRST medical response is to check for  __________.",Naval,B,indication of broken bones,breathing and heartbeat,location of burns,bleeding injuries,,,2
Halogenated fire extinguishing agents such as Halon 1301 extinguish fires by __________.,Naval,B,cooling,producing excess CO2,breaking the chain reaction,foaming action,,,3
The master or person-in-charge of a MODU is required to submit a casualty report of an intentional grounding when __________.,Naval,B,it creates a hazard to the vessel,it will last longer than 24 hours,it will last longer than 48 hours,it occurs in international waters,,,1
"In the case of an injury, causing a person to be incapacitated for more than 72 hours, the master or person- in-charge of a mobile offshore drilling unit must submit a  report to __________.",Naval,B,the nearest Marine Safety or Marine Inspection Office,the nearest hospital,the Department of Energy,the American Bureau of the Shipping,,,1
"Which of the following substances is to be considered as fuel for a class ""B"" fire?",Naval,B,Wood,Rags,Electrical insulation,Fuel oil,,,4
"According to regulations, the master or person-in-charge of a MODU is required to submit a report of a loss of life __________.",Naval,B,only when it happens while underway,to the next of kin,to the nearest OCMI,to the nearest coroner,,,3
Where would you find the FCC authorization for transmitting on your rig's EPIRB?,Naval,B,On the Ship Station License.,On the side of the EPIRB transmitter.,In the radio log.,On the Certificate of Inspection.,,,1
"After having activated the emergency position indicating radio beacon, you should __________.",Naval,B,turn it off for five minutes every half-hour,turn it off and on at five minute intervals,turn it off during daylight hours,leave it on continuously,,,4
What should you do with your emergency position indicating  radio beacon if you are in a liferaft during storm  conditions?,Naval,B,Bring it inside the liferaft and leave it on.,Bring it inside the liferaft and turn it off until the storm passes.,Leave it outside the liferaft and leave it on.,Leave it outside the liferaft but turn it off.,,,1
How often is the line throwing appliance required to be tested on a mobile offshore drilling unit?,Naval,B,Once a month,Once a year,Once a week,Once every four months,,,4
"When a rescuer discovers a burn victim in the vicinity of electrical equipment or wiring, his first step is to __________.",Naval,B,flush water over any burned area of the patient,apply ointment to the burned areas on the patient,shutdown electrical power in the area,remove the patient from the vicinity of the live electrical equipment or wiring,,,3
Which of the listed precautions should be taken when testing a line throwing gun?,Naval,B,Never remove the line from the rocket.,Fire it at an angle of approximately 90 degrees to the horizon.,Wear asbestos gloves.,All of the above.,,,1
You are in a survival craft boadcasting a distress message.  What information would be essential to your  rescuers?,Naval,B,The nature of the distress.,The time of day.,Your radio call sign.,Your position by latitude and longitude.,,,4
"During an evacuation from a MODU, an individual without the option of a survival craft or liferaft should enter the water on the leeward side, except when __________.",Naval,B,there is burning oil on the water,there is a rescue craft in the area,water temperature is below 40°F,a rigid survival craft is in the area,,,1
"A class ""B"" fire would most likely occur in the __________.",Naval,B,main switchboard,engine room bilge,breathing compartment,electric fresh water transfer pump,,,2
"During an evacuation from a MODU, an individual without the option of a survival craft or liferaft should enter the water on the leeward side, except when __________.",Naval,B,there is a rescue craft in the area,there is hydrogen sulfide present,water temperature is below 40°F,a rigid survival craft is in the area,,,2
"During an evacuation from a MODU, an individual without the option of a survival craft or liferaft should enter the water on the leeward side, except when __________.",Naval,B,there is a rescue craft in the area,water temperature is below 40°F,there is a severe list to the windward side of the MODU,a rigid survival craft is in the area,,,3
"With no alternative but to jump from a MODU, the correct posture should include __________.",Naval,B,"holding down the lifejacket against the chest with one arm  crossing the other, covering the mouth and nose with a hand, and feet together",knees bent and held close to the body with both arms around legs,body straight and arms tightly at the sides for feet first  entry into the water,both hand holding the lifejacket below the chin with knees  bent and legs crossed,,,1
"After being launched from a MODU, a totally enclosed survival craft which has been afloat over a long period of  time, requires __________.",Naval,B,frequent opening of hatches to permit entry of fresh air,regular checks of bilge levels,use of ear plugs to dampen engine noise,frequent flushing of the water spray system with fresh water,,,2
Basic emergency care for an electrical burn is to __________.,Naval,B,flood the burn with water for two minutes,brush away the charred skin and wrap the burned area,cover the burned area with a clean cloth and transport the  patient to a medical facility,apply ointment or spray to the burned area and wrap with a  clean cloth,,,3
"On offshore drilling units, the lifeboat fuel tanks must be emptied and the fuel changed at least once every __________.",Naval,B,12 months,24 months,36 months,48 months,,,1
Who is charged with appointing persons to be in command of  the lifeboats and/or liferafts on a mobile offshore drilling units?,Naval,B,Rig superintendent,Toolpusher,Company man,Designated person-in-charge,,,4
A self-righting survival craft will return to an upright position provided that all personnel __________.,Naval,B,are seated with seatbelts on and doors shut,are seated with seatbelts on and doors open,are to shift to one side to right it,escape from the craft,,,1
Which of the following classes of fire would probably occur in the fireroom bilges?,Naval,B,Class A,Class B,Class C,Class D,,,2
