Question_Title,Subject_Name,Group_Name,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6,Correct_Answer
The EPA allows a large low pressure system to be pressurized during repairs by __________.,General,B,adding excess refrigerant,adding nitrogen,adding heat with controlled hot water,adding CFC-22,,,3
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 13"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,72 gpm,143 gpm,286 gpm,672 gpm,,,2
"In order to recognize the amount of anchor chain paid out,  specific portions of the chain are color coded and wrapped  with wire.  A red painted detachable line would be found between the __________.",General,B,number 1 and 2 shots of chain,number 2 and 3 shots of chain,number 3 and 4 shots of chain,all of the above,,,1
Dust covers or plugs must be placed on all dry material fill and discharge lines P-tanks to __________.,General,B,maintain good seamanship,prevent moisture from entering the tank,prevent accidental discharge on deck,prevent accidental filling of the tank,,,2
The high pressure cut-out switch used on refrigeration units for low pressure systems is set to shut off the compressor  at __________.,General,B,1 psig,5 psig,10 psig,15 psig,,,3
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 12"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,529 gpm,66 gpm,132 gpm,264 gpm,,,3
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 11"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,242 gpm,407 gpm,61 gpm,121 gpm,,,4
The inlet of the purge units used with some compressors in  low pressure refrigeration systems is connected to the __________.,General,B,economizer,condenser,compressor,evaporator,,,2
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 10"" stroke and operating with 80% volumetric efficiency, what is the capacity of this pump?",General,B,98 gpm,49 gpm,196 gpm,272 gpm,,,2
A properly adjusted thermostatic expansion valve will have  a constant valve opening under a condition of constant __________.,General,B,supply pressure,suction pressure,refrigerant superheat,compressor speed,,,3
"If you have a simplex single acting reciprocating pump making 150 strokes/minute, with a 5"" diameter cylinder, a 4"" stroke and operating with 97% volumetric efficiency, what is the capacity of this pump?",General,B,49 gpm,99 gpm,25 gpm,32 gpm,,,3
"If you have a simplex single acting reciprocating pump making 200 strokes/minute, with a 5"" diameter cylinder, a 7"" stroke and operating with 77% volumetric efficiency, what is the capacity of this pump?",General,B,92 gpm,180 pm,183 gpm,46 gpm,,,4
"In order to recognize the amount of anchor chain paid out,  specific portions of the chain are color coded and wrapped  with wire.  The third shot of chain should have __________.",General,B,three turns of wire wrapped around the detachable link,three turns of wire wrapped around the stud of the third link on each side of the detachable link,three turns of wire wrapped around the stud of the link on  each side of the detachabale link,one turn of wire wrapped around the stud of the third link  on each side of the detachable link,,,2
Liquid recovery alone will typically remove the total refrigerant charge from a low pressure system up to __________.,General,B,0.5,0.6,0.7,0.75,,,3
"If you have a simplex single acting reciprocating pump making 120 strokes/minute, with a 5"" diameter cylinder, a 6"" stroke and operating with 81% volumetric efficiency, what is the capacity of this pump?",General,B,25 gpm,50 pm,59 gpm,96 gpm,,,1
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 11"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,61 gpm,242 gpm,407 gpm,121 gpm,,,2
"If you have a duplex double acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 12"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,529 gpm,132 gpm,264 gpm,66 gpm,,,3
"If you have a duplex single acting reciprocating pump making 120 strokes/minute, with a 5"" diameter cylinder, a 5"" stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",General,B,15 gpm,38 gpm,47 gpm,61 gpm,,,3
Hot gas bypass is one of the methods used to __________.,General,B,relieve excessive compressor head pressure,produce flash gas at the expansion valve,reduce flooding of the receiver at low loads,defrost the evaporator coils,,,4
"In order to recognize the amount of anchor chain paid out,  specific portions of the chain are color coded and wrapped  with wire.  The second shot of the chain is painted __________.",General,B,white on the detachable link,red for two links on either side of the detachable link,white for two links on either side of the detachable link,red on the detachable link,,,3
The rupture disc used on low pressure refrigerant containers is set for __________.,General,B,1 psig,5 psig,10 psig,15 psig,,,4
"If you have a duplex single acting reciprocating pump making 200 strokes/minute, with a 3"" diameter cylinder, a 4"" stroke and operating with 93% volumetric efficiency, what is the capacity of this pump?",General,B,23 gpm,11 gpm,40 gpm,46 gpm,,,1
"If you have a duplex single acting reciprocating pump making 100 strokes/minute, with a 6"" diameter cylinder, a 7"" stroke and operating with 90% volumetric efficiency, what is the capacity of this pump?",General,B,39 gpm,77 gpm,154 gpm,105 gpm,,,2
"If you have a simplex single acting reciprocating pump making 110 strokes/minute, with a 6"" diameter cylinder, a 5"" stroke and operating with 91% volumetric efficiency, what is the capacity of this pump?",General,B,51 gpm,61 gpm,31 gpm,123 gpm,,,3
"In order to recognize the amount of anchor chain paid out,  specific portions of the chain are color coded and wrapped  with wire.  The first shot of chain is painted __________.",General,B,white on the detachable link and red on each link to either side of the detachable link,white on the detachable link and white on each link to either side of the detachable link,red on the detachable link and red on each link to either side of the detachable link,red on the detachable link and white on each link to either side of the detachable link,,,4
Which of the precautions listed should be taken before opening any part of a refrigeration system?,General,B,Make certain that a positive pressure exists in the system  to prevent entrance of moisture.,Find the leaks in the system with a Halide torch.,Set the high pressure cutout on manual to prevent automatic starting.,Use the hot gas defrost line to remove frost on coils.,,,1
"During normal operation, how is most of the refrigerant released to the atmosphere from low pressure systems?",General,B,through water-side systems,through the purge unit,through a leaking rupture disk,through the compressor shaft seal,,,2
A short weighted hose is attached to the end of the P-tank  fixed discharge line on board a supply boat to __________.,General,B,prevent accidental back flow of dry bulk material,maintain a non-vibrating delivery rate,prevent dry material from being discharged on deck,All of the above,,,3
Minor repairs may be performed on low pressure refrigerant  systems without recovering the refrigerant charge if the pressure in the system is raised to atmospheric.  How may this be accomplished?,General,B,heat the refrigerant,pressurize the system with nitrogen,charge the system until it is completely filled with liquid refrigerant,open the system vent to the atmosphere and allow the pressure to equalize,,,1
"Before charging a refrigeration unit, the refrigerant charging lines should be __________.",General,B,flushed with clean refrigerant oil,purged with the refrigerant,washed with an ammonia and alcohol solution,grounded to the compressor,,,2
